"Town_Code","Town_Name","Pop_T","city_class"
124691,"Patholi",7884,"Class_5"
124692,"Kalwari",13269,"Class_4"
124693,"Deoretha",12335,"Class_4"
124694,"Rohta",12063,"Class_4"
124695,"Kaulakha",5438,"Class_5"
124696,"Nainana-Brahman",4500,"Class_6"
124697,"Azizpur",11103,"Class_4"
124698,"Dhanauli",28990,"Class_3"
124699,"Nainana Jat",12941,"Class_4"
124869,"Runkata",15582,"Class_4"
125502,"Tundla Railway Colony",7404,"Class_5"
125503,"Tundla Kham",7079,"Class_5"
126213,"Makhanpur",7012,"Class_5"
130130,"Iffco Census Village",4014,"Class_6"
130470,"Kareli",11554,"Class_4"
130471,"Kandharpur",11191,"Class_4"
130472,"Saidpur Khajuria",9439,"Class_5"
130473,"Mohenpur",21812,"Class_3"
130474,"Padarathpur",8852,"Class_5"
130475,"Parsona",6946,"Class_5"
130476,"Pipalsana Chaudhari",9713,"Class_5"
130477,"Kakgaina",17949,"Class_4"
130808,"Hafiz Ganj",9447,"Class_5"
131660,"Pakriya Naugwan Mustqil",17472,"Class_4"
131661,"Barha",10803,"Class_4"
135074,"Suthana Barsola",9936,"Class_5"
135522,"Lalhapur",10784,"Class_4"
136058,"Maigal Ganj",11325,"Class_4"
136543,"Saidhari",13092,"Class_4"
137766,"Naiparapur",10881,"Class_4"
142394,"Achalganj",7748,"Class_5"
142395,"Katri Piper Khera",26475,"Class_3"
142396,"Majhara Pipar Ahatmali",25310,"Class_3"
143558,"Kalli Pashchim",12157,"Class_4"
143559,"Sarsawan",10655,"Class_4"
146567,"Baroun",5886,"Class_5"
146568,"Amethi Jadid",5642,"Class_5"
148852,"Jamuhan",7139,"Class_5"
148853,"Kasba Khanpur",11938,"Class_4"
149454,"Raniyan",10011,"Class_4"
149673,"Ahrauli Shekh",7383,"Class_5"
149674,"Gausganj",8700,"Class_5"
150291,"Choubepur Kalan",10785,"Class_4"
150571,"Chakeri",7526,"Class_5"
150572,"Northern Railway Colony",20916,"Class_3"
150573,"Armapur Estate",15463,"Class_4"
152726,"Deori Singhpura",5800,"Class_5"
152869,"Parichha",7047,"Class_5"
152870,"Khailar",13232,"Class_4"
153038,"Banguwan Kalan",2706,"Class_6"
153624,"Mahroni Rural",6509,"Class_5"
155910,"Karwi Mafi",9024,"Class_5"
158999,"Dahilamau",6016,"Class_5"
159000,"Karanpur",8185,"Class_5"
160728,"Kasiya",8490,"Class_5"
160729,"Mahmudpur Taluka Madpur Sult",5065,"Class_5"
161173,"Soraon",10624,"Class_4"
161734,"Sarai Abdulmalik",4815,"Class_6"
161735,"Sarai Lahur Urf Lahurpur",4406,"Class_6"
161736,"Jhusi Kohna",20023,"Class_3"
161836,"Bihka Urf Pura Mufti",10749,"Class_4"
161837,"Shaha Urf Pipalgaon",8342,"Class_5"
162178,"Jasra",5483,"Class_5"
162179,"Nivi",7125,"Class_5"
162513,"Mahewa Patti Pashchim Uparhar",6408,"Class_5"
162514,"Arail Uparhar",12190,"Class_4"
162515,"Chak Babura Alimabad",4876,"Class_6"
162516,"Pura Pandey",4066,"Class_6"
162517,"Baswar",5552,"Class_5"
162518,"Chak Imam Ali",4641,"Class_6"
164843,"Dhakauli",5682,"Class_5"
164844,"Obaree",11858,"Class_4"
164845,"Barel",27207,"Class_3"
166581,"Gaddoo Pur",6478,"Class_5"
166582,"Khojn Pur",9618,"Class_5"
166583,"Pahar Ganj",7019,"Class_5"
167328,"Bhulepur",6445,"Class_5"
168112,"Jalalpur Dehat",6376,"Class_5"
169021,"Kathaura",11605,"Class_4"
169022,"Palpur",5702,"Class_5"
169023,"Nihal Garh Chak Jangla",7345,"Class_5"
169575,"Korwa",6524,"Class_5"
170003,"Kasba Sultanpur",8304,"Class_5"
171633,"Kewalpur",16445,"Class_4"
173406,"Bishunipur",4302,"Class_6"
173796,"Ganwaria Tulsipur",5748,"Class_5"
174749,"Janki Nagar",10195,"Class_4"
174750,"Gird Gonda",14391,"Class_4"
174751,"Pure Tiwari",4609,"Class_6"
175980,"Indian Tehephone Industry, Mankapur",6998,"Class_5"
178061,"Itwa",8253,"Class_5"
178487,"Hallaur",6999,"Class_5"
182983,"Bagh Nagar Urf Bakhira",8477,"Class_5"
182984,"Ledwa Mahua",13844,"Class_4"
183830,"Jugauli",6286,"Class_5"
185391,"Piprayli Bujurg",6270,"Class_5"
185901,"Harsewakpur No.2",8534,"Class_5"
185902,"Jangl Hakeem No 2",8328,"Class_5"
185903,"Bargo",7139,"Class_5"
185904,"Lahsari",5051,"Class_5"
185905,"Air Force Area",4581,"Class_6"
189407,"Fazi Nagar",6216,"Class_5"
194082,"Palhni",5189,"Class_5"
194083,"Chak Sikari",8820,"Class_5"
